"","subtype","ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","CDCA1","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","KNTC2","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T"
"H1AUNC.1208C","Her2",-1.655,-1.725,-0.75,0.321,-0.826,1.58,-2.423,-1.281,-1.514,-2.308,-2.122,0.187,-2.12,-1.23,-0.011,-0.414,1.975,2.383,-2.296,-1.176,2.459,-1.44,1.761,1.435,-1.909,-2.141,-0.785,-1.838,-2.145,-0.139,0.387,-2.21,-2.88,-1.129,0.451,5.526,-2.08,-3.023,1.505,-3.752,0.029,-2.271,-1.662,-2.755,-3.325,-0.107,-0.396,-1.99,-0.406,"-1.196"
"H1AUNC.1211C","Her2",-1.317,-2.22,-1.205,0.713,-0.356,1.275,-1.847,-1.562,-0.919,-2.602,-1.558,0.821,-1.712,-2.1,0.885,-0.768,1.555,2.413,-1.775,-1.272,1.923,-1.82,-0.539,0.813,-1.525,-1.923,-0.033,0.133,-1.141,0.491,-0.005,-2.108,-2.355,-2.092,1.173,4.731,-1.788,-2.664,4.123,-1.787,0.179,-2.014,-1.656,-2.019,-2.629,-0.888,-2.929,-2.86,-0.673,"-1.182"
"H1AUNC.1259","Her2",-0.346,-2.344,-0.304,0.242,-1.478,0.617,-1.161,-0.46,-1.413,-2.284,-1.719,0.767,-1.901,-1.75,0.104,-0.204,5.754,-2.684,-1.648,1.536,1.851,-1.29,2.137,3.6,-1.361,-1.924,0.01,-1.064,-1.537,0.113,0.06,-0.821,-2.733,-2.069,0.528,3.814,-0.412,-3.887,2.185,-1.473,0.921,-0.608,-1.842,-1.137,-2.428,-0.947,1.227,-1.41,-0.149,"-1.421"
"H1AUNC.1265","Her2",-0.425,-2.216,-0.361,0.381,-0.766,1.283,-2.381,-1.233,-0.672,-0.179,-1.569,0.518,-1.722,-1.74,1.341,-0.207,2.721,2.837,-2.011,0.252,2.118,-0.79,1.717,0.892,-1.611,-2.22,0.188,0.341,-0.754,-0.202,0.743,-0.983,-0.75,-1.756,0.994,4.756,-0.414,-2.014,3.3,-0.833,1.244,-3.575,-1.38,-1.379,-1.433,0.665,-2.196,-2.77,-0.932,"-1.515"
"H1AUNC.1266","Her2",-0.896,-1.495,-0.193,0.255,-1.684,2.024,-1.756,-1.127,-0.644,-1.885,-1.233,2.78,-3.427,-1.86,0.015,-0.513,6.47,-1.724,-3.025,0.22,1.958,-1.96,0.912,2.778,-2.088,-1.974,-0.066,-0.634,-1.115,-0.386,0.142,-1.52,-2.158,-2.047,0.648,4.177,-2.238,-5.428,1.322,-0.765,-0.017,-2.41,-1.736,-2.013,0.341,-0.737,1.362,-2.86,-1.184,"-1.646"
"H1AUNC.1270.C","Her2",-0.625,-2.141,-0.738,0.429,-1.186,1.011,-1.682,-0.979,-2.149,-1.855,-1.965,0.597,0.028,-1.38,0.468,-0.172,6.246,1.617,-1.794,0.088,1.969,-0.65,1.142,2.892,-2.591,-2.006,1.002,1.513,-0.056,0.069,0.101,-1.667,0.995,-0.368,0.896,3.511,-2.187,-2.791,1.729,-1.575,1.031,-1.61,-1.622,-1.692,0.304,-0.771,-0.668,-2.47,-0.76,"-1.089"
"H1AUNC.1272.C","Her2",0.848,-2.639,-0.573,0.639,-1.504,-1.046,-2.733,-1.436,-1.226,-1.853,-1.753,-1.633,-1.558,-1.2,-1.642,-0.692,2.457,4.24,-2.477,-0.759,2.592,-2.51,0.389,0.771,-2.65,-2.311,-0.379,-1.647,-0.673,0.787,0.16,-1.642,-2.538,-1.107,0.352,2.327,-1.603,-0.723,2.801,-2.65,0.1,-2.653,-2.262,-2.803,-3.489,-1.916,0.701,-3.02,-0.766,"-1.579"
"H1AUNC.1280.C","Her2",-0.517,-2.947,-0.235,0.463,-0.942,0.183,-1.934,-1.845,-1.619,-1.902,-3.027,0.999,-2.89,-2.71,-0.135,-0.22,1.673,2.32,-2.143,0.162,2.397,-1.25,2.626,1.05,-2.576,-1.931,-0.362,-0.122,-1.143,0.33,0.36,-1.938,-1.798,-0.069,0.808,4.552,-0.981,-2.582,1.818,-1.963,0.839,-5.019,-2.15,-2.101,-1.447,-2.041,-0.315,-1.83,-0.583,"-0.914"
"H1AUNC.1316.C","Her2",-1.704,-0.61,-0.652,0.528,-1.94,0.745,-0.878,-0.201,-0.565,-1.863,-1.198,1.21,-0.945,-0.69,-0.092,-0.223,6.028,-3.5,-1.307,0.867,2.297,-1.17,0.744,4.033,-1.619,-1.346,-0.605,-0.529,-1.423,-0.581,0.361,-0.34,-2.804,-0.067,0.85,2.876,-1.361,-3.879,1.07,-1.256,0.625,-0.314,-1.14,-1.305,-3.082,-1.673,-0.351,-1.67,-0.408,"0.128"
"H1AUNC.1318.C","Her2",-0.453,-0.342,-0.337,0.714,-1.518,0.283,-1.852,-0.421,0.257,-2.158,-1.393,1.889,-1.143,-1.16,-1.025,0.195,5.879,-3.508,-1.045,0.241,1.252,-0.28,-0.93,3.249,-0.946,-0.807,-0.481,-0.409,-1.433,0.05,0.088,-0.037,-2.641,-0.592,1.125,3.66,-0.824,-1.766,-0.274,-1.342,0.836,-1.498,-1.626,-1.788,-2.153,-2.398,0.935,-2.3,-0.639,"-0.611"
